Name,Branch,Place,Exams Accepted,Fees
"VIT University, Chennai",B.Tech Electrical and Electronics Engineering,"Kelambakkam, Tamil Nadu",VITEEE,"Fees:  ₹ 692,000"
Visvesvaraya National Institute of Technology Nagpur,B.Tech Electrical and Electronics Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 540,300"
"BITS Pilani, Goa Campus",BE Electrical and Electronics Engineering,"Chicalim, Goa",BITSAT,"Fees:  ₹ 1,624,800"
"MBM Engineering College, Jodhpur",B.Tech Electrical and Electronics Engineering,"Jodhpur, Rajasthan",NA,"Fees:  ₹ 220,000"
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",B.Tech Electrical and Electronics Engineering,"Visakhapatnam, Andhra Pradesh",AP,"Fees:  ₹ 434,200"
"Acharya Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 188,000"
National Institute of Technology Warangal,B.Tech Electrical and Electronics Engineering,"Warangal, Telangana",JEE,"Fees:  ₹ 500,000"
"St Joseph's College of Engineering, Chennai",BE Electrical and Electronics Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Dr Ambedkar Institute of Technology, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 213,840"
"Chaitanya Bharathi Institute of Technology, Hyderabad",BE Electrical and Electronics Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 800,000"
"Sathyabama Institute of Science and Technology, Chennai",BE Electrical and Electronics Engineering,"Chennai, Tamil Nadu",SAEEE,"Fees:  ₹ 75,000"
"School of Engineering and Technology, Jain University, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",NA,"Exams:  Uni-Gauge-E ,  JET "
"Ajay Kumar Garg Engineering College, Ghaziabad",B.Tech Electrical and Electronics Engineering,"Ghaziabad, Uttar Pradesh",JEE,"Fees:  ₹ 483,024"
"JSS Science and Technology University, Mysuru",BE Electrical and Electronics Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 64,000"
"Birla Institute of Technology and Science, Pilani",BE Electrical and Electronics Engineering Hons,"Pilani, Rajasthan",BITSAT,"Fees:  ₹ 1,632,500"
"Nitte Meenakshi Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 243,000"
"AAA College of Engineering and Technology, Thiruthangal",BE Electrical and Electronics Engineering,"Virudhunagar, Tamil Nadu",NA,NA
"University Visvesvaraya College of Engineering, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 88,360"
"JNTUH College of Engineering, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 40,000"
"Aditya Engineering College, Surampalem",B.Tech Electrical and Electronics Engineering,"Surampalem, Andhra Pradesh",NA,"Fees:  ₹ 227,000"
"CVR College of Engineering, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 360,000"
"Presidency University, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 660,000"
"Hindustan Institute of Technology and Science, Chennai",B.Tech Electrical and Electronics Engineering,"Chennai, Tamil Nadu",HITSEEE,"Fees:  ₹ 832,500"
"New Horizon College of Engineering, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 500,000"
"Dayananda Sagar Academy of Technology and Management, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 180,000"
"MS Ramaiah University of Applied Sciences, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 1,126,000"
"Thiagarajar College of Engineering, Madurai",BE Electrical and Electronics Engineering,"Madurai, Tamil Nadu",NA,"Fees:  ₹ 67,400"
"Kalinga Institute of Industrial Technology, Bhubaneswar",B.Tech Electronics and Electrical Engineering,"Bhubaneshwar, Odisha",KIITEE,"Fees:  ₹ 1,400,000"
"KLS Gogte Institute of Technology, Belagavi",BE Electrical and Electronics Engineering,"Belgaum, Karnataka",COMEDK,"Fees:  ₹ 213,840"
"SRM Institute of Science and Technology, Ramapuram Campus",B.Tech Electrical and Electronics Engineering Part Time,"Ramapuram, Tamil Nadu",NA,Exams:  SRMJEEE 
"Karunya Institute of Technology and Sciences, Coimbatore",B.Tech Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,NA
"Vardhaman College of Engineering, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 512,000"
"GIET University, Gunupur",B.Tech Electrical and Electronics Engineering,"Gunupur, Odisha",JEE,"Fees:  ₹ 456,000"
"The Oxford College of Engineering, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 300,000"
"Bhilai Institute of Technology, Durg",BE Electrical and Electronics Engineering,"Durg, Chhattisgarh",JEE,"Fees:  ₹ 279,400"
"Shiv Nadar University, Greater Noida",B.Tech Electrical and Electronics Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 940,000"
"GL Bajaj Institute of Technology and Management, Greater Noida",B.Tech Electrical and Electronics Engineering,"Greater Noida, Uttar Pradesh",NA,Exams:  UPSEE 
"NMAM Institute of Technology, Karkala Taluk",BE Electrical and Electronics Engineering,"Karkala, Karnataka",KCET,"Fees:  ₹ 782,000"
"Vasavi College of Engineering, Hyderabad",BE Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 640,000"
"The National Institute of Engineering, Mysore",BE Electrical and Electronics Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 76,360"
"Siddaganga Institute of Technology, Tumkur",BE Electrical and Electronics Engineering,"Tumakuru, Karnataka",COMEDK,"Fees:  ₹ 331,470"
"BS Abdur Rahman Institute of Science and Technology, Chennai",B.Tech Electrical and Electronics Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 630,000"
"Koneru Lakshmaiah Education Foundation, Guntur",B.Tech Electrical and Electronics Engineering,"Guntur, Andhra Pradesh",JEE,"Fees:  ₹ 815,000"
National Institute of Technology Calicut,B.Tech Electrical and Electronics Engineering,"Kattangal, Kerala",JEE,"Fees:  ₹ 541,320"
"Coimbatore Institute of Technology, Coimbatore",BE Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 238,480"
"BMS Institute of Technology and Management, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 132,000"
"Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",BE Electrical and Electronics Engineering,"Kelambakkam, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"TKM College of Engineering, Kollam",B.Tech Electrical and Electronics Engineering,"Kollam, Kerala",NA,NA
"Amity School of Engineering, Noida",B.Tech Electrical and Electronics Engineering,"Noida, Uttar Pradesh",JEE,"Fees:  ₹ 1,008,000"
"ABES Engineering College, Ghaziabad",B.Tech Electrical and Electronics Engineering,"Ghaziabad, Uttar Pradesh",JEE,"Fees:  ₹ 575,200"
"Christ University, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",Christ,"Fees:  ₹ 795,000"
"PES University, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",KCET,"Fees:  ₹ 192,000"
"Maharaja Agrasen Institute of Technology, Delhi",B.Tech Electrical and Electronics Engineering,"New Delhi, Delhi",IPU,"Fees:  ₹ 407,000"
"GMR Institute of Technology, Rajam",B.Tech Electrical and Electronics Engineering,"Srikakulam, Andhra Pradesh",AP,"Fees:  ₹ 440,800"
"AMC Engineering College, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 500,000"
"Sri Krishna College of Engineering and Technology, Coimbatore",BE Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 200,000"
"Banasthali Vidyapith, Banasthali",B.Tech Electrical and Electronics Engineering,"Jaipur, Rajasthan",Banasthali,"Fees:  ₹ 444,500"
"Sharda University, Greater Noida",B.Tech Electrical and Electronics Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 636,000"
"Sri Venkateswara University College of Engineering, Tirupati",B.Tech Electrical and Electronics Engineering,"Tirupati, Andhra Pradesh",AP,"Fees:  ₹ 42,000"
"CMR University, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",NA,"Exams:  JEE Main ,  COMEDK UGET ,  KCET "
"Government Engineering College, Thrissur",B.Tech Electrical and Electronics Engineering,"Thrissur, Kerala",KEAM,"Fees:  ₹ 20,685"
"Birla Institute of Technology Extension Centre, Deoghar",B.Tech Electrical and Electronics Engineering,"Deoghar, Jharkhand",JEE,"Fees:  ₹ 624,000"
"Anurag Group of Institutions, Ghatkesar",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 500,000"
"Shanmugha Arts Science Technology Research and Academy, Thanjavur",B.Tech Electrical and Electronics Engineering,"Thanjavur, Tamil Nadu",JEE,"Fees:  ₹ 537,000"
"Guru Gobind Singh Indraprastha University, Delhi",B.Tech Electrical and Electronics Engineering,"New Delhi, Delhi",IPU,"Fees:  ₹ 256,000"
"Malnad College of Engineering, Hassan",BE Electrical and Electronics Engineering,"Hassan, Karnataka",KCET,"Fees:  ₹ 105,560"
"Sir M Visvesvaraya Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 278,311"
"University College of Engineering, Osmania University, Hyderabad",BE Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 49,700"
"Malla Reddy College of Engineering and Technology, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",NA,Exams:  TS EAMCET 
"Galgotias College of Engineering and Technology, Greater Noida",B.Tech Electrical and Electronics Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 484,412"
National Institute of Technology Delhi,B.Tech Electrical and Electronics Engineering,"New Delhi, Delhi",NA,"Fees:  ₹ 594,700"
"Lakshmi Narain College of Technology, Bhopal",BE Electrical and Electronics Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 1,022,000"
"Institute of Aeronautical Engineering, Dundigal",B.Tech Electrical and Electronics Engineering,"Domara Pocham Pally, Telangana",TS,"Fees:  ₹ 268,000"
"RVR and JC College of Engineering, Guntur",B.Tech Electrical and Electronics Engineering,"Guntur, Andhra Pradesh",AP,"Fees:  ₹ 451,000"
"KLE Technological University, Hubballi",BE Electrical and Electronics Engineering,"Hubli, Karnataka",JEE,"Fees:  ₹ 343,200"
"Rajalakshmi Engineering College, Chennai",BE Electrical and Electronics Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 180,000"
National Institute of Technology Puducherry Karaikal,B.Tech Electrical and Electronics Engineering,"Thiruvettakudy, Puducherry",JEE,"Fees:  ₹ 271,850"
"VNR Vignana Jyothi Institute of Engineering and Technology, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 394,000"
"Guru Nanak Institutions Technical Campus, Ibrahimpatnam",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 312,000"
"MVJ College of Engineering, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 683,000"
"CV Raman College of Engineering, Bhubaneswar",B.Tech Electrical and Electronics Engineering,"Bhubaneswar, Odisha",JEE,"Fees:  ₹ 356,000"
"ICFAI Tech School, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",NA,Exams:  ATIT 
National Institute of Technology Goa,B.Tech Electrical and Electronics Engineering,"Ponda, Goa",JEE,"Fees:  ₹ 559,600"
"Jawaharlal Nehru Technological University College of Engineering, Kakinada",B.Tech Electrical and Electronics Engineering,"Kakinada, Andhra Pradesh",AP,"Fees:  ₹ 40,000"
"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 405,000"
"Rajagiri School of Engineering and Technology, Kochi",B.Tech Electrical and Electronics Engineering,"Kochi, Kerala",KEAM,"Fees:  ₹ 112,000"
"CMR Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 213,840"
"Goa College of Engineering, Farmagudi",BE Electrical and Electronics Engineering,"Ponda, Goa",GCET,"Fees:  ₹ 88,000"
"Mepco Schlenk Engineering College, Sivakasi",BE Electrical and Electronics Engineering,"Melamattur, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"BV Raju Institute of Technology, Narsapur",B.Tech Electrical and Electronics Engineering,"Narsapur, Telangana",TS,"Fees:  ₹ 414,000"
Indian Institute of Technology Patna,B.Tech Electrical and Electronics Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 845,390"
"RNS Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",KCET,"Fees:  ₹ 318,000"
"Sri Ramakrishna Engineering College, Coimbatore",BE Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"JSS Academy of Technical Education, Noida",B.Tech Electrical and Electronics Engineering,"Noida, Uttar Pradesh",UPSEE,"Fees:  ₹ 485,720"
"BNM Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 333,266"
"Sreenidhi Institute of Science and Technology, Ghatkesar",B.Tech Electrical and Electronics Engineering,"Yamnampet, Telangana",TS,"Fees:  ₹ 376,000"
"MLR Institute of Technology, Dundigal",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 280,000"
"Hindusthan College of Engineering and Technology, Coimbatore",BE Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"G Pulla Reddy Engineering College, Kurnool",B.Tech Electrical and Electronics Engineering,"Kurnool, Andhra Pradesh",AP,"Fees:  ₹ 320,000"
"Pondicherry Engineering College, Puducherry",B.Tech Electrical and Electronics Engineering,"Pillaichavady, Puducherry",NA,"Fees:  ₹ 106,000"
National Institute of Technology Uttarakhand,B.Tech Electrical and Electronics Engineering,"Srinagar, Uttarakhand",JEE,"Fees:  ₹ 576,600"
National Institute of Technology Andhra Pradesh,B.Tech Electrical and Electronics Engineering,"Tadepalligudem, Andhra Pradesh",JEE,"Fees:  ₹ 562,300"
"GITAM Institute of Technology, Visakhapatnam",B.Tech Electrical and Electronics Engineering,"Visakhapatnam, Andhra Pradesh",GITAM,"Fees:  ₹ 1,088,800"
"SDM College of Engineering and Technology, Dharwad",BE Electrical and Electronics Engineering,"Dharwad, Karnataka",COMEDK,"Fees:  ₹ 512,000"
"SRM University, Delhi-NCR, Sonepat",B.Tech Electrical and Electronics Engineering,"Sonipat, Haryana",JEE,"Fees:  ₹ 600,000"
"Kongu Engineering College, Erode",BE Electrical and Electronics Engineering,"Perundurai, Tamil Nadu",NA,"Fees:  ₹ 372,000"
"JNTUA College of Engineering, Anantapur",B.Tech Electrical and Electronics Engineering,"Anantapur, Andhra Pradesh",AP,"Fees:  ₹ 40,000"
Indian Institute of Technology Guwahati,B.Tech Electronics and Electrical Engineering,"Guwahati, Assam",JEE,"Fees:  ₹ 861,150"
"Sree Vidyanikethan Engineering College, Tirupati",B.Tech Electrical and Electronics Engineering,"Tirupati, Andhra Pradesh",AP,"Fees:  ₹ 300,000"
"Sethu Institute of Technology, Kariapatti",BE Electrical and Electronics Engineering,"S.Kallupatti, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"VIT University, Bhopal",B.Tech Electrical and Electronics Engineering,"Bhopal, Madhya Pradesh",NA,NA
"Sri Padmavati Mahila Visvavidyalayam, Tirupati",B.Tech Electrical and Electronics Engineering,"Tirupati, Andhra Pradesh",NA,"Exams:  AP EAMCET ,  AP ECET "
"Mahatma Gandhi Institute of Technology, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 351,000"
"Panimalar Engineering College, Chennai",BE Electrical and Electronics Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Srinivas Institute of Technology, Mangalore",BE Electrical and Electronics Engineering,"Arkula, Karnataka",COMEDK,"Fees:  ₹ 316,000"
"Amrita School of Engineering, Bengaluru",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",AEEE,"Fees:  ₹ 800,000"
"PES College of Engineering, Mandya",BE Electrical and Electronics Engineering,"Mandya, Karnataka",COMEDK,"Fees:  ₹ 72,360"
"University Institute of Engineering and Technology, Panjab University, Chandigarh",BE Electrical and Electronics Engineering,"Chandigarh, Chandigarh",JEE,"Fees:  ₹ 289,000"
"Cambridge Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 300,000"
"Kakatiya Institute of Technology and Science, Warangal",B.Tech Electrical and Electronics Engineering,"Warangal, Telangana",TS,"Fees:  ₹ 420,000"
"SNS College of Technology, Coimbatore",BE Electrical and Electronics Engineering,"Kurumbapalayam, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Mar Athanasius College of Engineering, Kothamangalam",B.Tech Electrical and Electronics Engineering,"Kothamangalam, Kerala",KEAM,"Fees:  ₹ 31,900"
"Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada",B.Tech Electrical and Electronics Engineering,"Vijayawada, Andhra Pradesh",AP,"Fees:  ₹ 415,400"
"RMK Engineering College, Thiruvallur",BE Electrical and Electronics Engineering,"Tiruvallur, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Dr MGR Educational and Research Institute, Chennai",B.Tech Electrical and Electronics Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 360,000"
"Vignan's Foundation for Science Technology and Research, Guntur",B.Tech Electrical and Electronics Engineering,"Guntur, Andhra Pradesh",JEE,"Fees:  ₹ 820,000"
"GLA University, Mathura",B.Tech Electrical and Electronics Engineering Lateral Entry,"Mathura, Uttar Pradesh",GLAET,"Fees:  ₹ 4,68,000"
"Saveetha Engineering College, Chennai",BE Electrical and Electronics Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 1,80,000"
"KIET Group of Institutions, Ghaziabad",B.Tech Electrical and Electronics Engineering,"Ghaziabad, Uttar Pradesh",UPSEE,"Fees:  ₹ 5,65,196"
"Vidyavardhaka College of Engineering, Mysore",BE Electrical and Electronics Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 5,74,992"
"Sri Sai Ram Engineering College, Chennai",BE Electrical and Electronics Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 2,20,000"
"Lakireddy Bali Reddy College of Engineering, Mylavaram",B.Tech Electrical and Electronics Engineering,"Mylavaram, Andhra Pradesh",AP,"Fees:  ₹ 3,15,200"
"Government Engineering College, Barton Hill, Thiruvananthapuram",B.Tech Electrical and Electronics Engineering,"Thiruvananthapuram, Kerala",KEAM,"Fees:  ₹ 48,968"
"SRM Institute of Science and Technology, NCR Campus, Ghaziabad",B.Tech Electrical and Electronics Engineering,"Sadabad Jakhaiva, Uttar Pradesh",NA,NA
"OPJS University, Rajgarh","B.Tech Electrical, Electronics and Aeronautics","Churu, Rajasthan",NA,NA
"Birla Institute of Technology, Patna",BE Electrical and Electronics Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 10,70,000"
"Adarsha College of Engineering, Angul",B.Tech Electrical and Electronics Engineering,"Angul, Odisha",NA,"Exams:  JEE Main ,  OJEE "
"NIE Institute of Technology, Mysore",BE Electrical and Electronics Engineering,"Anagahalli, Karnataka",COMEDK,"Fees:  ₹ 2,36,560"
"G Narayanamma Institute of Technology and Science For Women, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 3,80,000"
"Rajiv Gandhi Institute of Technology, Kottayam",B.Tech Electrical and Electronics Engineering,"Kottayam, Kerala",KEAM,"Fees:  ₹ 27,448"
"Institute of Engineering and Management, Kolkata",B.Tech Electrical and Electronics Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 5,20,800"
"Amal Jyothi College of Engineering, Kottayam",B.Tech Electrical and Electronics Engineering,"Koovappally, Kerala",KEAM,"Fees:  ₹ 3,35,600"
"Alliance College of Engineering and Design, Bangalore",B.Tech Electrical and Electronics Engineering,"Bangalore, Karnataka",Alliance,"Fees:  ₹ 6,00,000"
National Institute of Technology Jamshedpur,B.Tech Electrical Engineering Hons,"Jamshedpur, Jharkhand",JEE,"Fees:  ₹ 7,16,000"
"Amity School of Engineering and Technology, Noida",B.Tech Electrical and Electronics Engineering,"Noida, Uttar Pradesh",Amity,"Fees:  ₹ 10,00,000"
"Amrita School of Engineering, Amritapuri",B.Tech Electrical and Electronics Engineering,"Vallikavu, Kerala",JEE,"Fees:  ₹ 5,66,000"
"Dr Mahalingam College of Engineering and Technology, Pollachi",BE Electrical and Electronics Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 2,20,000"
"Annamalai University, Annamalai Nagar",BE Electrical and Electronics Engineering,"Chidambaram, Tamil Nadu",NA,"Fees:  ₹ 2,14,600"
"Sri Venkateswara College of Engineering, Sriperumbudur",BE Electrical and Electronics Engineering,"Kanchipuram, Tamil Nadu",NA,"Fees:  ₹ 9,80,000"
"Vishnu Institute of Technology, Bhimavaram",B.Tech Electrical and Electronics Engineering,"Bhimavaram, Andhra Pradesh",AP,"Fees:  ₹ 3,67,400"
"Bangalore University, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 1,00,480"
"Marri Laxman Reddy Institute of Technology and Management, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",NA,"Exams:  JEE Main ,  TS EAMCET "
"CMR College of Engineering and Technology, Hyderabad",B.Tech Electrical and Electronics Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 4,00,000"
"Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology, Chennai",B.Tech Electrical and Electronics Engineering,"Chennai, Tamil Nadu",VTUEEE,"Fees:  ₹ 10,60,000"
"MES College of Engineering, Malappuram",B.Tech Electrical and Electronics Engineering,"Malappuram, Kerala",JEE,"Fees:  ₹ 3,00,000"
"Rajarajeswari College of Engineering, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 1,54,000"
"East West Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 154,000"
"Maharaja Surajmal Institute of Technology, Delhi",B.Tech Electrical and Electronics Engineering,"New Delhi, Delhi",IPU,"Fees:  ₹ 443,200"
"SJB Institute of Technology, Bangalore",BE Electrical and Electronics Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 667,840"
"Government Engineering College, Raipur",BE Electrical and Electronics Engineering,"Sejbahar, Chhattisgarh",JEE,"Fees:  ₹ 82,780"
"Veer Surendra Sai University of Technology, Sambalpur",B.Tech Electrical and Electronics Engineering,"Burla, Odisha",JEE,"Fees:  ₹ 173,030"
"Mar Baselios College of Engineering and Technology, Thiruvananthapuram",B.Tech Electrical and Electronics Engineering,"Thiruvananthapuram, Kerala",KEAM,"Fees:  ₹ 451,500"
"JNTUA College of Engineering, Kalikiri",B.Tech Electrical and Electronics Engineering,"Kalikiri, Andhra Pradesh",AP,"Fees:  ₹ 68,895"
"PSNA College of Engineering and Technology, Dindigul",BE Electrical and Electronics Engineering,"Dindigul, Tamil Nadu",NA,"Fees:  ₹ 300,000"
"BVV Sangha's Basaveshwar Engineering College, Bagalkot",BE Electrical and Electronics Engineering,"Bagalkot, Karnataka",JEE,"Fees:  ₹ 277,520"
"Netaji Subhas Institute of Technology, Patna",B.Tech Electrical and Electronics Engineering,"Patna, Bihar",NA,"Fees:  ₹ 389,300"
