Name,Branch,Place,Exams Accepted,Fees
"College of Engineering, Guindy",BE Computer Science and Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 129,560"
"Pandit Deendayal Petroleum University, Gandhinagar",B.Tech Computer Engineering,"Gandhinagar, Gujarat",JEE,"Fees:  ₹ 921,000"
"Chandigarh University, Chandigarh",BE Artificial Intelligence and Machine Learning,"Chandigarh, Punjab",NA,"Fees:  ₹ 654,000"
"Bannari Amman Institute of Technology, Erode",BE Computer Science and Engineering,"Erode, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"LNM Institute of Information Technology, Jaipur",B.Tech Computer Science and Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 1,120,000"
National Institute of Technology Karnataka Surathkal,B.Tech Computer Engineering,"Mangaluru, Karnataka",JEE,"Fees:  ₹ 534,479"
Indian Institute of Technology Roorkee,B.Tech Computer Science and Engineering,"Roorkee, Uttarakhand",JEE,"Fees:  ₹ 855,000"
"VIT University, Chennai",B.Tech Computer Science and Engineering,"Kelambakkam, Tamil Nadu",VITEEE,"Fees:  ₹ 780,000"
Visvesvaraya National Institute of Technology Nagpur,B.Tech Computer Science Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 540,300"
"BITS Pilani, Goa Campus",BE Computer Science Engineering,"Chicalim, Goa",BITSAT,"Fees:  ₹ 1,624,800"
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",B.Tech Computer Science and Engineering,"Visakhapatnam, Andhra Pradesh",AP,"Fees:  ₹ 434,200"
National Institute of Technology Warangal,B.Tech Computer Science and Engineering,"Warangal, Telangana",JEE,"Fees:  ₹ 500,000"
"Sathyabama Institute of Science and Technology, Chennai",BE Computer Science and Engineering,"Chennai, Tamil Nadu",SAEEE,"Fees:  ₹ 100,000"
"Mukesh Patel School of Technology Management and Engineering, Mumbai",B.Tech Computer Science and Engineering,"Mumbai, Maharashtra",NPAT,"Fees:  ₹ 1,160,000"
"School of Engineering and Technology, Jain University, Bangalore",B.Tech Computer Science and Engineering,"Bangalore, Karnataka",NA,"Exams:  Uni-Gauge-E ,  JET "
"Ajay Kumar Garg Engineering College, Ghaziabad",B.Tech Computer Science and Engineering,"Ghaziabad, Uttar Pradesh",UPSEE,"Fees:  ₹ 483,024"
"Indraprastha Institute of Information Technology, Delhi",B.Tech Computer Science and Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 1,400,000"
"Government College of Engineering, Aurangabad",BE Computer Science and Engineering,"Aurangabad, Maharashtra",NA,"Fees:  ₹ 323,921"
"JSS Science and Technology University, Mysuru",BE Computer Science and Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 64,000"
"Jamia Hamdard, New Delhi",B.Tech Computer Science and Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 695,000"
"Aditya Engineering College, Surampalem",B.Tech Computer Science and Engineering,"Surampalem, Andhra Pradesh",NA,"Fees:  ₹ 227,000"
"CVR College of Engineering, Hyderabad",B.Tech Computer Science and Engineering,"Hyderabad, Telangana",NA,"Fees:  ₹ 360,000"
"Presidency University, Bangalore",B.Tech Computer Science and Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 800,000"
Indian Institute of Technology Banaras Hindu University Varanasi,B.Tech Computer Science and Engineering,"Varanasi, Uttar Pradesh",JEE,"Fees:  ₹ 828,010"
"Hindustan Institute of Technology and Science, Chennai",B.Tech Computer Science and Engineering,"Chennai, Tamil Nadu",HITSEEE,"Fees:  ₹ 1,062,500"
"New Horizon College of Engineering, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 500,000"
"Sant Longowal Institute of Engineering and Technology, Longowal",BE Computer Science and Engineering,"Longowal, Punjab",JEE,"Fees:  ₹ 271,000"
"International Institute of Information Technology, Hyderabad",B.Tech Computer Science and Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 1,120,000"
Indian Institute of Technology Kanpur,B.Tech Computer Science and Engineering,"Kanpur, Uttar Pradesh",JEE,"Fees:  ₹ 830,850"
"Haldia Institute of Technology, Haldia",B.Tech Computer Science Engineering,"Haldia, West Bengal",JEE,"Fees:  ₹ 360,700"
Indian Institute of Technology Hyderabad,B.Tech Computer Science and Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 887,780"
"Dayananda Sagar Academy of Technology and Management, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 180,000"
"MS Ramaiah University of Applied Sciences, Bangalore",B.Tech Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 1,426,000"
"Thiagarajar College of Engineering, Madurai",BE Computer Science and Engineering,"Madurai, Tamil Nadu",NA,"Fees:  ₹ 67,400"
"Kalinga Institute of Industrial Technology, Bhubaneswar",B.Tech Computer Science and Engineering,"Bhubaneshwar, Odisha",KIITEE,"Fees:  ₹ 1,400,000"
Malaviya National Institute of Technology Jaipur,B.Tech Computer Science and Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 411,472"
"Walchand College of Engineering, Sangli",B.Tech Computer Science and Engineering,"Sangli, Maharashtra",JEE,"Fees:  ₹ 339,390"
"SRM Institute of Science and Technology, Ramapuram Campus",B.Tech Computer Science and Engineering,"Ramapuram, Tamil Nadu",NA,Exams:  SRMJEEE 
"Institute of Engineering and Technology, Lucknow",B.Tech Computer Science and Engineering,"Lucknow, Uttar Pradesh",UPSEE,"Fees:  ₹ 339,100"
"DY Patil College of Engineering, Pune",BE Computer Engineering,"Pimpri-Chinchwad, Maharashtra",MAHA,"Fees:  ₹ 493,168"
"Karunya Institute of Technology and Sciences, Coimbatore",B.Tech Computer Science and Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 874,000"
"Vivekananda Global University, Jaipur","B.Tech Artificial Intelligence integrated with IOA, UK","Jaipur, Rajasthan",NA,"Fees:  ₹ 587,500"
"Vardhaman College of Engineering, Hyderabad",B.Tech Computer Science and Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 512,000"
"The Oxford College of Engineering, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 570,360"
"GL Bajaj Institute of Technology and Management, Greater Noida",B.Tech Computer Science and Engineering,"Greater Noida, Uttar Pradesh",NA,Exams:  UPSEE 
"Vasavi College of Engineering, Hyderabad",BE Computer Science and Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 640,000"
"The National Institute of Engineering, Mysore",BE Computer Science and Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 76,360"
"Siddaganga Institute of Technology, Tumkur",BE Computer Science and Engineering,"Tumakuru, Karnataka",COMEDK,"Fees:  ₹ 331,470"
"Shri Ramdeobaba College of Engineering and Management, Nagpur",BE Computer Science and Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 599,600"
"BS Abdur Rahman Institute of Science and Technology, Chennai",B.Tech Computer Science and Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 830,000"
"Koneru Lakshmaiah Education Foundation, Guntur",B.Tech Computer Science and Engineering,"Guntur, Andhra Pradesh",JEE,"Fees:  ₹ 955,000"
"Government College of Engineering, Amravati",B.Tech Computer Science and Engineering,"Amravati, Maharashtra",JEE,"Fees:  ₹ 335,740"
National Institute of Technology Calicut,B.Tech Computer Science and Engineering,"Kattangal, Kerala",JEE,"Fees:  ₹ 541,320"
"University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra",B.Tech Computer Science and Engineering,"Kurukshetra, Haryana",JEE,"Fees:  ₹ 269,280"
Indian Institute of Technology Gandhinagar,B.Tech Computer Science and Engineering,"Gandhinagar, Gujarat",JEE,"Fees:  ₹ 986,500"
"Vishwakarma Institute of Information Technology, Pune",BE Computer Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 639,576"
"Tezpur University, Tezpur",B.Tech Computer Science and Engineering,"Tezpur, Assam",JEE,"Fees:  ₹ 163,344"
"BMS Institute of Technology and Management, Bangalore",B.Tech Computer Science and Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 132,000"
"Pimpri Chinchwad College of Engineering, Pune",BE Computer Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 458,164"
"Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",BE Computer Science and Engineering,"Kelambakkam, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"Amity School of Engineering, Noida",B.Tech Computer Science and Engineering,"Noida, Uttar Pradesh",JEE,"Fees:  ₹ 1,300,000"
"ABES Engineering College, Ghaziabad",B.Tech Computer Science and Engineering,"Ghaziabad, Uttar Pradesh",JEE,"Fees:  ₹ 575,200"
"Guru Nanak Dev Engineering College, Ludhiana",B.Tech Computer Science and Engineering,"Ludhiana, Punjab",JEE,"Fees:  ₹ 362,289"
"Christ University, Bangalore",B.Tech Computer Science and Engineering,"Bangalore, Karnataka",Christ,"Fees:  ₹ 830,000"
National Institute of Technology Raipur,B.Tech Computer Science Engineering,"Raipur, Chhattisgarh",JEE,"Fees:  ₹ 540,000"
"Ambedkar Institute of Advanced Communication Technologies and Research, Delhi",B.Tech Computer Science and Engineering,"New Delhi, Delhi",NA,"Fees:  ₹ 160,000"
"PES University, Bangalore",B.Tech Computer Science and Engineering,"Bangalore, Karnataka",KCET,"Fees:  ₹ 192,000"
"Maharaja Agrasen Institute of Technology, Delhi",B.Tech Computer Science and Engineering,"New Delhi, Delhi",IPU,"Fees:  ₹ 407,000"
"GMR Institute of Technology, Rajam",B.Tech Computer Science and Engineering,"Srikakulam, Andhra Pradesh",AP,"Fees:  ₹ 440,799"
"Sri Krishna College of Engineering and Technology, Coimbatore",BE Computer Science and Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Graphic Era University, Dehradun",B.Tech Computer Science and Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 812,000"
"Vivekanand Education Society's Institute of Technology, Chembur",BE Computer Science and Engineering,"Mumbai, Maharashtra",MAHA,"Fees:  ₹ 420,000"
"Sharda University, Greater Noida",B.Tech Business Analytics and Optimization with IBM,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 832,000"
"Birla Institute of Technology Extension Centre, Deoghar",B.Tech Computer Science and Engineering,"Deoghar, Jharkhand",JEE,"Fees:  ₹ 624,000"
"Vidyalankar Institute of Technology, Mumbai",BE Computer Engineering,"Mumbai, Maharashtra",MAHA,"Fees:  ₹ 559,544"
"Anurag Group of Institutions, Ghatkesar",B.Tech Computer Science and Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 500,000"
"Indira Gandhi Delhi Technical University for Women, Delhi",B.Tech Computer Science and Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 320,000"
"Shanmugha Arts Science Technology Research and Academy, Thanjavur",B.Tech Computer Science and Engineering,"Thanjavur, Tamil Nadu",JEE,"Fees:  ₹ 537,000"
"Guru Gobind Singh Indraprastha University, Delhi",B.Tech Computer Science and Engineering,"New Delhi, Delhi",IPU,"Fees:  ₹ 256,000"
"Guru Ghasidas Vishwavidyalaya, Bilaspur",B.Tech Computer Science Engineering,"Bilaspur, Chhattisgarh",JEE,"Fees:  ₹ 110,000"
"Malnad College of Engineering, Hassan",BE Computer Science and Engineering,"Hassan, Karnataka",KCET,"Fees:  ₹ 253,200"
"Sir M Visvesvaraya Institute of Technology, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 278,311"
"University College of Engineering, Osmania University, Hyderabad",BE Computer Science and Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 49,700"
"Dr BC Roy Engineering College, Durgapur",B.Tech Computer Science and Engineering,"Durgapur, West Bengal",NA,"Fees:  ₹ 363,000"
"Thapar Institute of Engineering and Technology, Patiala",BE Computer Engineering,"Patiala, Punjab",JEE,"Fees:  ₹ 611,900"
National Institute of Technology Delhi,B.Tech Computer Science and Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 594,700"
"College of Technology, GB Pant University of Agriculture and Technology, Pantnagar",B.Tech Computer Engineering,"Pantnagar, Uttarakhand",JEE,"Fees:  ₹ 222,356"
"Lakshmi Narain College of Technology, Bhopal",BE Computer Science and Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 1,116,000"
"Institute of Aeronautical Engineering, Dundigal",B.Tech Computer Science and Engineering,"Domara Pocham Pally, Telangana",TS,"Fees:  ₹ 268,000"
"RVR and JC College of Engineering, Guntur",B.Tech Computer Science and Engineering,"Guntur, Andhra Pradesh",NA,"Fees:  ₹ 451,000"
"YMCA University of Science and Technology, Faridabad",B.Tech Computer Engineering,"Faridabad, Haryana",NA,"Fees:  ₹ 291,285"
"KLE Technological University, Hubballi",BE Computer Science and Engineering,"Hubli, Karnataka",NA,"Fees:  ₹ 343,200"
"Rajalakshmi Engineering College, Chennai",BE Computer Science and Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"Jabalpur Engineering College, Jabalpur",BE Computer Science and Engineering,"Jabalpur, Madhya Pradesh",NA,"Fees:  ₹ 89,200"
"GH Raisoni College of Engineering, Nagpur",BE Computer Science and Engineering,"Nagpur, Maharashtra",MAHA,"Fees:  ₹ 628,644"
"VNR Vignana Jyothi Institute of Engineering and Technology, Hyderabad",B.Tech Computer Science and Engineering,"Hyderabad, Telangana",NA,"Fees:  ₹ 394,000"
"Jaypee Institute of Information Technology, Sector 128, Noida",B.Tech Computer Science and Engineering,"Noida, Uttar Pradesh",NA,"Fees:  ₹ 890,000"
"MVJ College of Engineering, Bangalore",B.Tech Computer Science and Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 923,000"
"DIT University, Dehradun",B.Tech CSE with Specialization in Artificial Intelligence and Data Science in Association with IBM,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 1,017,940"
"CV Raman College of Engineering, Bhubaneswar",B.Tech Computer Science and Engineering,"Bhubaneswar, Odisha",JEE,"Fees:  ₹ 356,000"
"ICFAI Tech School, Hyderabad",B.Tech Computer Science and Engineering,"Hyderabad, Telangana",NA,Exams:  ATIT 
National Institute of Technology Goa,B.Tech Computer Science and Engineering,"Ponda, Goa",JEE,"Fees:  ₹ 559,600"
"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",B.Tech Computer Science and Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 405,000"
"Goa College of Engineering, Farmagudi",BE Computer Science and Engineering,"Ponda, Goa",GCET,"Fees:  ₹ 88,000"
"Mepco Schlenk Engineering College, Sivakasi",BE Computer Science and Engineering,"Melamattur, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"Fr Conceicao Rodrigues College of Engineering, Mumbai",BE Computer Engineering,"Mumbai, Maharashtra",MAHA,"Fees:  ₹ 586,000"
Indian Institute of Technology Patna,B.Tech Computer Science and Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 845,390"
Maulana Azad National Institute of Technology Bhopal,B.Tech Computer Science and Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 558,911"
"MIT Art Design and Technology University, Pune",B.Tech Computer Science with Knowledge Engineering,"Pune, Maharashtra",NA,NA
"Government Engineering College, Ajmer",B.Tech Computer Science and Engineering,"Ajmer, Rajasthan",JEE,"Fees:  ₹ 240,000"
"BIT Sindri, Dhanbad",B.Tech Computer Science Engineering,"Dhanbad, Jharkhand",JEECE,"Fees:  ₹ 147,223"
National Institute of Technology Patna,B.Tech Computer Science and Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 565,500"
"JSS Academy of Technical Education, Noida",B.Tech Computer Science and Engineering,"Noida, Uttar Pradesh",UPSEE,"Fees:  ₹ 485,720"
"Sreenidhi Institute of Science and Technology, Ghatkesar",B.Tech Computer Science and Engineering,"Yamnampet, Telangana",TS,"Fees:  ₹ 376,000"
"Hindusthan College of Engineering and Technology, Coimbatore",BE Computer Science and Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"The NorthCap University, Gurgaon",B.Tech Computer Science and Engineering,"Gurgaon, Haryana",JEE,"Fees:  ₹ 984,000"
"G Pulla Reddy Engineering College, Kurnool",B.Tech Computer Science and Engineering,"Kurnool, Andhra Pradesh",AP,"Fees:  ₹ 320,000"
"Pondicherry Engineering College, Puducherry",B.Tech Computer Science and Engineering,"Pillaichavady, Puducherry",NA,"Fees:  ₹ 106,000"
National Institute of Technology Uttarakhand,B.Tech Computer Science and Engineering,"Srinagar, Uttarakhand",JEE,"Fees:  ₹ 576,600"
National Institute of Technology Andhra Pradesh,B.Tech Computer Science and Engineering,"Tadepalligudem, Andhra Pradesh",JEE,"Fees:  ₹ 562,300"
"DKTE Society's Textile and Engineering Institute, Ichalkaranji",B.Tech Computer Science and Engineering,"Kolhapur, Maharashtra",NA,"Exams:  JEE Main ,  MAHA CET "
"GITAM Institute of Technology, Visakhapatnam",B.Tech Computer Science and Business Systems,"Visakhapatnam, Andhra Pradesh",GITAM,"Fees:  ₹ 1,088,800"
"PES Institute of Technology, Bangalore South Campus, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 1,280,000"
"Shri Mata Vaishno Devi University, Katra",B.Tech Computer Science and Engineering,"Katra, Jammu and Kashmir",JEE,"Fees:  ₹ 561,750"
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri",B.Tech Computer Science and Engineering,"Vishnupuri, Maharashtra",NA,"Fees:  ₹ 301,004"
National Institute of Technology Kurukshetra,B.Tech Computer Engineering,"Kurukshetra, Haryana",JEE,"Fees:  ₹ 566,900"
"Abacus Institute of Engineering and Management, Hooghly",B.Tech Computer Science and Engineering,"Kola, West Bengal",JEE,"Fees:  ₹ 300,000"
Indian Institute of Technology Ropar,B.Tech Computer Science and Engineering,"Rupnagar, Punjab",JEE,"Fees:  ₹ 858,200"
"SRM University, Delhi-NCR, Sonepat",B.Tech Computer Science and Business System in association with TCS,"Sonipat, Haryana",JEE,"Fees:  ₹ 800,000"
"Rajkiya Engineering College, Bijnor",B.Tech Computer Science and Engineering,"Bijnor, Uttar Pradesh",UPSEE,"Fees:  ₹ 221,220"
"KK Wagh Institute of Engineering Education and Research, Nashik",BE Computer Engineering,"Nashik, Maharashtra",MAHA,"Fees:  ₹ 328,000"
"Thakur College of Engineering and Technology, Mumbai",BE Computer Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 585,304"
Indian Institute of Technology Guwahati,B.Tech Computer Science and Engineering,"Guwahati, Assam",JEE,"Fees:  ₹ 861,150"
Indian Institute of Technology Indian School of Mines Dhanbad,B.Tech Computer Science and Engineering,"Dhanbad, Jharkhand",JEE,"Fees:  ₹ 904,100"
"Sri Padmavati Mahila Visvavidyalayam, Tirupati",B.Tech Computer Science Engineering,"Tirupati, Andhra Pradesh",NA,"Exams:  AP EAMCET ,  AP ECET "
"Srinivas Institute of Technology, Mangalore",BE Computer Science and Engineering,"Arkula, Karnataka",COMEDK,"Fees:  ₹ 316,000"
"Madan Mohan Malaviya University of Technology, Gorakhpur",B.Tech Computer Science and Engineering,"Gorakhpur, Uttar Pradesh",NA,"Fees:  ₹ 643,700"
National Institute of Technology Durgapur,B.Tech Computer Science and Engineering,"Durgapur, West Bengal",JEE,"Fees:  ₹ 550,900"
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",BE Computer Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 600,000"
Indian Institute of Information Technology Design and Manufacturing Kancheepuram,B.Tech Computer Science and Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 524,900"
"PES College of Engineering, Mandya",BE Computer Science and Engineering,"Mandya, Karnataka",COMEDK,"Fees:  ₹ 112,360"
"KIT's College of Engineering, Kolhapur",B.Tech Computer Science and Engineering,"Gokul Shirgaon, Maharashtra",MAHA,"Fees:  ₹ 358,920"
"Guru Jambheshwar University of Science and Technology, Hisar",B.Tech Computer Science and Engineering,"Hisar, Haryana",JEE,"Fees:  ₹ 222,000"
"Cambridge Institute of Technology, Bangalore",BE Computer Science Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 400,000"
"SNS College of Technology, Coimbatore",BE Computer Science and Engineering,"Kurumbapalayam, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Mar Athanasius College of Engineering, Kothamangalam",B.Tech Computer Science and Engineering,"Kothamangalam, Kerala",NA,"Fees:  ₹ 31,900"
National Institute of Technology Hamirpur,B.Tech Computer Science and Engineering,"Hamirpur, Himachal Pradesh",JEE,"Fees:  ₹ 568,050"
"Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada",B.Tech Computer Science and Engineering,"Vijayawada, Andhra Pradesh",AP,"Fees:  ₹ 415,400"
"RMK Engineering College, Thiruvallur",BE Computer Science and Engineering,"Tiruvallur, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Dr MGR Educational and Research Institute, Chennai",B.Tech Computer Science and Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 464,000"
"Vignan's Foundation for Science Technology and Research, Guntur",B.Tech Computer Science and Engineering,"Guntur, Andhra Pradesh",JEE,"Fees:  ₹ 820,000"
"GLA University, Mathura",B.Tech Computer Science and Engineering,"Mathura, Uttar Pradesh",GLAET,"Fees:  ₹ 630,000"
"Shree LR Tiwari College of Engineering, Thane",BE Computer Engineering,"Thane, Maharashtra",JEE,"Fees:  ₹ 344,824"
"Vidyavardhaka College of Engineering, Mysore",BE Computer Science and Engineering,"Mysuru, Karnataka",COMEDK,"Fees:  ₹ 807,840"
"The Institutions of Engineers India, Kolkata",B.Tech Computer Science and Engineering,"Kolkata, West Bengal",NA,NA
"Sri Sai Ram Engineering College, Chennai",BE Computer Science and Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 220,000"
"Lakireddy Bali Reddy College of Engineering, Mylavaram",B.Tech Computer Science and Engineering,"Mylavaram, Andhra Pradesh",AP,"Fees:  ₹ 315,200"
"University Institute of Engineering and Technology, Maharshi Dayanand University, Rohtak",B.Tech Computer Science and Engineering,"Rohtak, Haryana",JEE,"Fees:  ₹ 251,336"
"Bipin Tripathi Kumaon Institute of Technology, Dwarahat",B.Tech Computer Science and Engineering,"Hulank Talli Mirai, Uttarakhand",JEE,"Fees:  ₹ 276,000"
"JSS Academy of Technical Education, Bangalore",BE Computer Science and Engineering,"Bangalore, Karnataka",NA,"Fees:  ₹ 822,000"
"Birla Institute of Technology, Patna",BE Computer Science and Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 1,070,000"
"Anjuman-I-Islam's Kalsekar Technical Campus, Navi Mumbai",BE Computer Engineering,"Navi Mumbai, Maharashtra",MAHA,"Fees:  ₹ 292,213"
"Adarsha College of Engineering, Angul",B.Tech Computer Science and Engineering,"Angul, Odisha",NA,"Exams:  JEE Main ,  OJEE "
